	Tweet	Username	Date	Hashtags	Likes	Retweets	Replies	Url	Score
QUERY	joe biden won elections
0	Joe Biden was “Selected” not elected.	The TRUMP PAGE 🇺🇸	Mon Dec 07 17:45:45 +0000 2020	[]	411	105	20	https://twitter.com/i/web/status/1336003980594270208	0.9955828667023713
1	Joe Biden lost the election.	Nick Adams	Sun Dec 06 13:49:30 +0000 2020	[]	9695	2480	253	https://twitter.com/i/web/status/1335582137433681921	0.9847830350495774
2	Pollster Says Joe Biden Didn’t Win Presidential Election: “The Numbers Just Don’t Add Up”  	LifeNews.com	Mon Dec 07 22:19:48 +0000 2020	[]	455	210	8	https://twitter.com/i/web/status/1336072949422546945	0.9643526003121502
3	Pollster Says Joe Biden Didn’t Win Presidential Election: “The Numbers Just Don’t Add Up”  	LifeNews	Mon Dec 07 22:19:54 +0000 2020	[]	13	8	0	https://twitter.com/i/web/status/1336072974663868417	0.9643526003121502
4	Good morning. Joe biden is not president elect. That is all.	President elect-Redwave	Mon Dec 07 13:05:32 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1335933461782269953	0.9636367730067481
5	Watch: Chris Wallace Snaps When HHS Secretary Doesn’t Refer to Joe Biden as ‘President-Elect’ 	SheepDog Society LLC.	Mon Dec 07 22:59:35 +0000 2020	[]	8	4	1	https://twitter.com/i/web/status/1336082959309398023	0.9579066774179739
6	President-elect Joe Biden becomes President Joe Biden in 44 days.	Robert Reich	Mon Dec 07 17:00:02 +0000 2020	[]	5168	362	158	https://twitter.com/i/web/status/1335992476633481216	0.9573731437334764
7	Georgia just re-certified the election. Guess what?? Joe Biden won!!! Again!!! I knew you'd be surprised 👍🏽😃.	Amy Lynn 🍭🌊	Mon Dec 07 22:48:05 +0000 2020	[]	196	26	26	https://twitter.com/i/web/status/1336080065055043584	0.9551460044317293
8	Do you believe Joe Biden won Nationally  More votes than any Presidential Election in History?🤔  Biden set a New *Low for the % of counties won by a successful US presidential candidate - just 15%   Trump won 2,497 Counties . . . Biden only 477 Counties /212 &lt; than Obama🤔	Lawyerforlaws	Mon Dec 07 18:30:14 +0000 2020	[]	81	49	10	https://twitter.com/i/web/status/1336015177368694784	0.9549846034689152
9	Great news for President-elect Joe Biden  via @PalmerReport	Joshua Moreland	Mon Dec 07 21:54:13 +0000 2020	[]	38	14	0	https://twitter.com/i/web/status/1336066510079602690	0.9534449948480975
10	Gretchen Whitmer to serve as co-chair of President-elect Joe Biden's inauguration 	Lansing State Journal	Mon Dec 07 15:32:04 +0000 2020	[]	6	2	2	https://twitter.com/i/web/status/1335970337553600513	0.9526554757931246
11	VIDEO: these are all the facts of why it’s IMPOSSIBLE that Joe Biden won the election  It’s just a Christmas miracle I guess 🙄🌲🙄🌲🙄  @LLinWood @POTUS @realDonaldTrump  https://t.co/4hklZq7eCR	poetWOAgun	Mon Dec 07 12:21:20 +0000 2020	[]	102	95	2	https://twitter.com/i/web/status/1335922337779077123	0.9523380721039544
12	BREAKING: Civil rights orgs to meet with President-elect Joe Biden and Vice President-elect Kamala Harris tomorrow at 5p to talk racial equity, social justice, and increased diversity in the incoming administration.	East Atlanta Errin 🧼🧴😷🙏🏾	Mon Dec 07 23:00:12 +0000 2020	[]	198	34	5	https://twitter.com/i/web/status/1336083116205682689	0.9514174074692539
13	Chris Wallace snaps when HHS secretary doesn't refer to Joe Biden as the 'president-elect' - TheBlaze... BIAS Chris Wallace having a meltdown when his buddy is not called President elect😂 He knows Joe wasn’t elected.. He helped him cheat! https://t.co/GuhuVuEq7C	Thunder	Mon Dec 07 21:27:13 +0000 2020	[]	34	29	9	https://twitter.com/i/web/status/1336059716808667136	0.9510875792217953
14	Georgia has re-certified the results of the presidential election, reaffirming President-elect Joe Biden as the winner following three counts of ballots, Secretary of State Brad Raffensperger said in a news release https://t.co/e3MBoo0FBq	CNN	Mon Dec 07 20:31:05 +0000 2020	[]	6438	593	617	https://twitter.com/i/web/status/1336045589335838725	0.9496042714160106
15	Georgia again certifies election results showing Joe Biden won 	ABC7 Eyewitness News	Mon Dec 07 19:55:51 +0000 2020	[]	176	16	13	https://twitter.com/i/web/status/1336036723529195520	0.9479382305901283
16	President-Elect Joe Biden says he will reveal his pick for secretary of Defense this Friday 	Emma Kinery	Mon Dec 07 22:21:03 +0000 2020	[]	40	8	8	https://twitter.com/i/web/status/1336073261273280516	0.9478800719691691
17	Georgia has officially certified its election results yet again.  Joe Biden will be our President after winning for the 50th time in a single month, yay.	Ricky Davila	Mon Dec 07 21:11:57 +0000 2020	[]	2102	233	39	https://twitter.com/i/web/status/1336055871411896320	0.9474094648156541
18	Progressives Are Not Happy With President-Elect Joe Biden’s Likely Secretary Of Defense Pick, Michele Flournoy 	Thomas Paine	Mon Dec 07 23:10:05 +0000 2020	[]	15	8	4	https://twitter.com/i/web/status/1336085603352514560	0.9466235866734976
19	Breaking News: President-elect Joe Biden has selected Xavier Becerra, a former congressman who is now the Democratic attorney general of California, as his nominee for secretary of health and human services. https://t.co/gb7iYa6JlM	The New York Times	Sun Dec 06 22:51:55 +0000 2020	[]	4049	766	371	https://twitter.com/i/web/status/1335718643582316550	0.9459471032200882
QUERY	donald trump is the president
0	@JFKLibrary @TMB3000 President Donald J Trump	Christian DEEB	Sat Dec 05 16:52:43 +0000 2020	[]	43	5	5	https://twitter.com/i/web/status/1335265859795873793	0.9903505345933308
1	“We will never surrender. “ -President Donald J. Trump	ArmyBratt ⭐️⭐️⭐️Parler: ArmyBratt68	Sun Dec 06 13:56:00 +0000 2020	[]	1011	289	16	https://twitter.com/i/web/status/1335583774852206593	0.9823923184659847
